id,source_id,source_name,title,content,published_at
1,the-irish-times,The Irish Times,Unemployment falls to post-crash low of 5.2%,The States jobless rate fell to 5.2 per cent last month  according to the latest official figures. This was higher than previously reported on account of an upward revision by the Central Statistics Office (CSO)  one of several in the last two years.  Nonethe… [+800 chars],2019-09-03T10:32:28Z
5,abc-news,ABC News,'This Tender Land' is an affecting story about growing up, This Tender Land: a Novel  (Atria Books)  by William Kent Krueger  Strands of the adventures of Huck Finn and Tom Sawyer on the Mississippi River echo throughout William Kent Krueger's lyrical  compassionate  This Tender Land  in which four children try to e… [+2822 chars],2019-09-03T15:56:49Z
9,the-irish-times,The Irish Times,Boris Johnson to meet Leo Varadkar in Dublin on Monday,The British Prime Minister Boris Johnson is to visit Dublin next Monday for a meeting with Taoiseach Leo Varadkar.  Mr Johnson will meet Mr Varadkar for talks on Brexit and the North  it is expected  amid continuing political turmoil at Westminster and growin… [+1190 chars],2019-09-03T15:04:43Z
13,reuters,Reuters,Marks & Spencer to be kicked out of FTSE 100 for first time,LONDON (Reuters) - Marks &amp; Spencer (MKS.L) will be relegated from London's FTSE 100 .FTSE index for the first time since the inception of the blue-chip index in 1984  according to Reuters calculations based on Tuesday's closing prices.   The 135-year old … [+706 chars],2019-09-03T16:51:04Z
17,cbs-news,CBS News,Coast Guard suspends search efforts for victims of deadly boat fire,The U.S. Coast Guard has suspended the search for victims of a deadly fire on a commercial diving vessel near the Southern California coast. Rescuers recovered 20 bodies as crews worked to find 14 others  officials said in a news conference Tuesday.  Official… [+1249 chars],2019-09-03T17:47:00Z
21,business-insider,Business Insider,US factory activity unexpectedly slowed last month for the first time in 3 years — and Trump's trade war was the main culprit,,2019-09-03T15:19:35Z
25,the-new-york-times,The New York Times,Interpreting the Interpreter: Who Was Lafcadio Hearn?,Names are important in The Sweetest Fruits; they shift to denote ownership over personal history. The point is clear: No one person is the same to any two others. Thus Hearns name  like the man  is revised in each section. To Rosa  he is Patricio  but to his … [+2434 chars],2019-09-03T09:00:06Z
29,bbc-news,BBC News,Keith Hill: New Bolton Wanderers boss won't 'mentally ruin' young players,Bolton fielded the youngest side in their history when they drew 0-0 with Coventry in League One in August  New Bolton Wanderers manager Keith Hill says he will protect the  special group  of young players that helped ensure the survival of the crisis club.  … [+2827 chars],2019-09-03T15:07:38Z
33,abc-news,ABC News,Hurricane Dorian has weakened to a Category 2 storm with maximum sustained winds near 110 mph (175 kph).,Hurricane Dorian has weakened to a Category 2 storm with maximum sustained winds near 110 mph (175 kph).,2019-09-03T14:57:39Z
37,the-wall-street-journal,The Wall Street Journal,Pence faces row over stay at Trump Irish resort...,SHANNON  IrelandA senior aide to   Mike Pence  defended the vice presidents decision to spend two nights at President   Trump  s golf resort on an official visit to Ireland  as critics question whether he is using public dollars to benefit the president.Mr. P… [+3455 chars],2019-09-03T14:25:38Z
